31444,29540,27327
42210,40949,46030
55786,54494,48937
47532,46235,49137
568,336,1882
34118,34147,21033
58831,58413,41102
63865,64032,45812
12572,13084,12584
24222,26147,46045
48580,46217,31025
29416,33566,10625
9722,12979,24526
59667,59532,51730
47407,46435,50102
48729,49646,53460
12965,11302,11078
56590,56060,50141
28521,26414,29532
36539,37780,48718
2851,3077,10550
170,160,6247
30524,27678,16172
44864,45281,17569
40530,39113,49084
16664,18460,27227
53433,51589,50102
41119,42491,25494
11712,10740,30664
53643,54097,44768
44536,40537,16081
34139,34291,50102
24652,25635,14526
18343,20634,8113
56285,56222,50344
20892,21190,7207
40166,43630,53394
26076,24481,50782
47537,48083,38064
13837,12892,51118
23874,23999,48822
13108,8064,5857
59513,60021,42348
59859,60391,51090
45204,47837,53142
12459,10571,18335
32204,30971,29887
32679,33617,51151
1130,876,5850
33298,33320,31851
11148,10938,10018
46234,47661,52960
14897,21746,13302
520,393,5823
56055,56102,32132
22161,22308,50298
3948,3853,5870
31782,34781,53071
13143,13362,6030
35778,37242,53054
6274,5956,7047
33749,35427,51151
2565,3225,6191
28216,26580,52679
21231,22805,24043
19746,19898,53199
1955,2177,1634
12734,12430,44782
23767,23802,37942
10377,9943,1188
25418,25002,15501
12038,12650,44760
23052,22286,28578
29326,28983,2103
22470,21786,45493
42966,45359,15501
32833,31304,4018
8392,8727,7005
58904,57956,46045
7928,8277,1401
18964,18988,1295
33507,34344,36124
49670,50046,14003
44874,40804,34158
59451,58721,22178
17148,16294,1328
26719,22362,17974
49304,49253,48033
22606,23260,45661
3426,3814,5710
43943,40344,48033
37753,36701,45103
55195,54177,46555
62497,62705,40276
37525,38397,37356
40583,41101,45701
10962,10602,30430
3414,4205,6007
21551,27499,20083
3461,3420,1318
58340,59714,45625
27892,26434,2855
24972,25209,11046
30221,31206,46339
48676,48982,46094
48921,49783,14176
56299,56120,7776
9572,9624,14639
30543,28761,13532
77,80,1241
20809,21159,40560
28577,29961,47674
47388,45883,11742
39864,39606,47079
2041,1613,3147
15789,13994,17616
403,280,5468
53908,50881,50604
11154,11510,13161
3816,3507,5615
36614,31855,10929
49981,44075,17467
60849,61013,50820
46752,48406,50039
16856,16531,18204
30324,28973,11065
53997,53465,34723
44299,43399,51087
568,345,5468
55250,55557,33735
54032,55666,41679
16058,17688,43610
27461,27275,49359
35521,35778,50009
20193,19488,49978
47869,42661,17547
36052,36049,52722
32320,33511,50375
41059,39698,52700
49820,48959,24852
6561,6250,5497
34813,35006,8203
36898,36383,22952
36316,38077,50390
22106,22907,6281
56815,55021,26372
23049,21482,52726
6553,5135,24983
33923,32284,49252
46930,45307,50401
10464,7460,12360
41679,42215,44475
10139,8304,46315
41561,39225,49376
27088,26339,49892
34765,33984,49281
6299,5478,6804
24834,29176,49668
14715,15558,41539
49907,46830,21280
54390,54935,17743
46355,45278,49242
35680,36923,49716
4700,3173,5391
33265,34680,49598
312,187,5351
44314,46494,12449
31645,33135,51598
41730,42820,52368
34233,33924,52489
28404,20771,6124
24406,25762,50051
5622,6301,6917
65734,65650,50363
1229,2089,5502
20746,20099,7140
369,250,5351
29794,27561,46602
57622,57575,12885
39487,38722,10395
13910,12722,3078
32008,34940,41977
21029,21015,7289
24456,25574,3648
43089,41317,49966
14887,14461,2971
25015,24168,14772
29330,29083,52052
11315,10892,5066
59544,59961,48945
20854,20920,13285
14183,16924,27368
107,55,4796
21172,22309,49652
35070,34415,44693
438,352,4799
20175,20267,6057
61856,60167,49417
27576,26478,15183
538,265,4796
23902,25547,43844
51850,53980,11561
14915,14982,28086
11225,10594,26129
33100,35311,47715
4800,3995,2655
58613,61142,47300
46936,46699,47015
57631,58088,46335
44939,45327,12224
33393,33003,26096
15862,15835,28645
754,597,2446
25517,27474,47774
47213,47499,12147
2691,2107,2535
21520,20153,14670
27750,28831,3704
16827,16635,27641
31753,34921,10115
50677,51110,49583
61295,62465,49566
539,333,2444
55694,56544,44549
24168,22349,46621
26516,26568,46335
204,220,2447
58102,59681,38702
57901,59124,45770
57005,55925,20458
20380,21574,15314
46747,45782,39470
33264,35678,14028
376,156,1328
20439,18114,10098
14363,13538,1932
38041,35318,14474
42666,42736,44828
50323,50789,45575
1710,1654,1374
31732,29877,48693
45078,41971,24482
3042,2660,1470
23379,23040,32154
13727,10565,9552
20832,21014,50850
5834,5118,6076
16932,16143,11453
25078,22650,38922
38329,36970,50423
5036,5703,16394
30890,28709,50923
30950,29494,49970
45137,43110,12875
39152,39099,42390
49583,50146,53002
36499,37730,50941
2463,2496,5861
36451,31785,13945
19952,19675,15246
35683,36403,49712
52532,53877,53077
20063,14842,15589
43175,43722,43896
9514,12465,23069
27777,28312,50393
23483,24050,50850
45560,49529,35043
14647,14768,10811
15171,11854,11077
30279,29011,44879
24635,23358,1479
10209,9274,33300
8775,8534,32785
41700,42269,47834
37379,40099,11788
8305,7452,2002
51523,53958,47809
50966,51621,47677
58757,54517,22947
8583,8462,31628
1700,1588,869
3482,3128,824
45314,43141,34522
27610,27735,2723
48190,48082,46799
17840,15127,36734
49136,49171,32888
6157,6083,1663
48773,49943,39803
52977,50507,46270
6504,5983,5470
31262,29524,48258
6193,5520,13336
64850,64672,46672
44788,45483,47645
15418,15433,3024
30710,29832,48220
24731,23115,45682
13071,12140,1777
32070,30761,44189
19357,16816,48224
39877,40905,23364
11993,11989,3110
33941,32827,38381
37499,36034,48257
33169,30176,2713
43260,42475,45389
57026,55772,45781
50170,48500,45327
57803,59098,23152
39372,36455,12135
9854,9303,13039
48605,49451,45327
51946,52358,48362
53629,53528,14786
23183,21309,45811
4968,4974,9942
18377,17394,44787
38028,36217,44558
36106,37935,46385
61656,61649,48239
9337,8902,1273
41042,38838,46060
5035,5230,30723
27085,28230,48140
24624,23565,45397
23968,24354,9067
13383,11513,2015
55469,54969,45180
25120,22915,1779
46149,44409,45939
28680,23852,13154
47170,46810,52583
568,320,5351
48515,47315,49281
21798,17201,10090
36022,36569,36523
14589,14400,6535
61760,61385,40846
659,551,5359
32794,31956,50379
13923,20428,14638
53966,52901,52631
8074,8180,3240
12308,11740,3421
60836,59960,49334
24757,26810,10115
53077,51290,47619
21444,19761,49488
43158,41533,49546
32147,34686,12247
27044,25728,49392
1253,1016,2399
20974,19797,3594
56874,56529,49488
18412,16768,49182
58166,57598,47206
62717,61899,47452
11029,11283,45928
19128,21549,27230
11223,10935,3466
11715,11767,3547
16621,15704,3066
46447,45437,46798
19991,20034,49889
16543,16551,47943
32850,32655,47187
43075,44256,20950
43237,45094,20205
63025,61538,47813
39408,38147,46602
483,294,2711
34275,34026,6869
19525,17943,47631
19979,17236,15892
29480,28889,47076
25757,24733,14368
15387,13953,48494
54028,53269,45325
5224,6515,6343
19877,19177,53493
46787,43764,51067
25242,25307,49753
40613,41893,13966
38349,37447,50752
46947,47655,53520
11103,14405,32442
36854,40313,50359
341,211,6211
697,518,6245
27663,27379,7384
13012,13757,34334
35357,36192,51239
29232,30229,50102
15460,16375,7159
28186,24504,7006
59833,59958,50102
52894,55230,50102
56337,55296,44710
58455,56362,49741
44556,45676,13013
454,264,2757
24707,24414,9647
34592,34130,50012
50840,49656,10102
52014,52553,46687
539,327,2757
2865,2986,2826
44988,43020,5028
17710,17749,3980
11452,11456,41074
35690,36326,49150
51956,53453,48771
46829,44018,46377
58249,56167,34384
61884,60293,47113
13455,14591,27832
579,360,2012
54505,52360,25992
42028,42573,4558
57235,56631,49244
26705,26280,46160
14454,13747,12977
29795,27896,46900
5549,5004,3118
42862,44545,28261
15117,16392,37723
1009,1209,3023
9153,8577,39579
55226,54473,45973
45618,44667,45519
38262,36396,2657
32690,36580,11382
5252,5147,27368
40023,38916,46145
43963,43036,29779
14945,15919,40387
26824,27676,24363
48309,47558,45896
13658,12980,45620
26023,24853,46822
22506,24926,9583
65793,65711,49335
49833,47768,3408
8694,8703,2891
20516,21294,15383
19224,18231,44871
49657,49625,25038
1967,1795,1984
25638,25524,3381
10162,10169,47509
38267,39253,47639
32570,32175,4044
13664,14028,33977
35939,34441,48983
25729,25337,46537
32972,32553,50478
11752,13263,38378
48104,47861,52418
46,20,5379
30306,30891,26765
20685,20499,7330
17030,15774,43977
25351,25573,8468
37422,34729,38030
24492,24244,39129
49243,48264,47776
44591,40449,44940
12438,11770,1774
14465,12968,3829
10250,10404,36220
625,363,2757
35123,35257,10983
23715,24039,49973
53875,53225,48664
52637,53963,15397
28545,28001,13093
42200,41698,46262
14142,13998,8650
54704,56808,48476
60331,60078,48494
3751,3637,1282
262,143,1243
34326,32712,50080
20666,18747,47739
60675,61477,49849
43326,45742,49401
34438,36633,49982
42521,39698,50438
61923,63652,49252
27102,24753,13995
28225,25718,37214
894,851,1288
40697,40280,48421
25760,23484,7909
5647,5891,2802
48729,48568,48448
29811,33218,9665
30319,27850,46073
6274,4509,1663
17191,16553,46122
24409,22404,43507
9480,9410,8780
5299,5372,2670
29341,30125,9641
54304,55791,36616
37510,37383,45416
22131,25662,8706
53673,52338,45780
3692,3619,1948
5642,5893,2545
24027,24303,15551
23554,22503,46736
38981,39037,48678
57428,58332,45810
1059,1058,7550
32856,33107,40361
13166,10012,8193
54601,49523,17272
